	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YAL023C		-0.35	-0.06	0.04	0.43	-0.03	-0.01	-0.43	-0.03	-0.23	-0.06	0.14	0.43	0.06	0.27	-0.18	0.54	-0.3	0.44	-0.14	0.21	-0.43	0.26	-0.57
YAL024C	-0.48	-0.08	-0.23	0.62	0.47	-0.12	-0.44	0.74	0.28	0.51	-0.19	0.58	0.82	0.88	-0.3	-0.19		0.07	-0.44	-0.66	-0.15	-1.23	0.37	-0.84
YAL025C		1.04	0.62	-0.04	-0.66	0.45	-0.12	0.52	-0.71	0.46	-0.59	0.07	-0.97	0	-0.97	0.59	-0.4	0.24	-0.38	0.74	-0.94	0.61	0.03	0.42
YAL026C	-0.21	-0.23	-0.16	-0.14	0.7	-0.43	0.32	-0.16	0.59	-0.18	0.37	-0.31	0.54	-0.76	0.37		0.1	-0.37	0.49	0.46	0.04	-0.29	-0.35	-0.39
YAL027W				-0.56	0.05	-0.47	0.13	-0.37	0.14	-0.01	0.06	-0.22	-0.03	0.18	0.48		-0.24	-0.03	0.47	0.24	0.26	-0.09		
YAL028W				-0.82	0.07	-0.7	-0.18	-1.45	0.2	-0.7	0.39	-0.3	0.51	-0.1	0.26		0.45	0.02	1.05	0.45	0.79	0.09		
YAL029C	-0.26	-0.4	-0.13	-0.19	0.4	-0.54	0.17	-0.09	0.58	-0.36	0.29	-0.58	0.62	-0.06	0.26		0.46	-0.22	0.45	0.41	0.43	-0.46	-0.42	-0.34
YAL030W										0.32				-0.32										
YAL031C	-0.63	-0.37	-0.3	-0.15	0.33	-0.41	-0.17	-0.2	0.62	-0.37	0.36	-0.41	0.39	-0.08	0.63		-0.17	-0.28	0.29	0.71	0.74	-0.11	-0.09	-0.3
YAL032C				-0.24	-0.05	-0.07	0.09	-0.21	0.15	0.06	0.04	-0.18	-0.49	-0.13	-0.06		0.13	0.21	0.43	0.32	0.09	-0.09		
YAL033W	-0.27	0.19	0.09	-0.2	0.52	-0.4	0.38	-0.82	0.11	-0.46	0.08	-0.37	0.06	-0.13	0.52		0.26	-0.14	0.47	0.84	0.65	-0.75	-0.5	-0.16
YAL034C	-0.46	-0.11	0	-0.03	0.57	-0.36	0.35	-0.92	0.59	-0.49	0.2	-0.28	0.54	-0.16	0.68		0.22	-0.34	0.41	0.41	0.5	-0.44	-0.51	-0.37
YAL035C-A	-0.11	0.29	-0.04	0.32		-0.19		-0.34	0.68	0.11	-0.34		0.1	0.22	1.03	-0.29		-0.04				-0.6	-0.36	-0.45
YAL035W				-0.2	0.17	-0.36	0.21	-0.48	0.09	-0.22	0.14	1.29	-0.2	-0.22	-0.28		-0.1	-0.24	0.42	1.92	-0.32	-1.63		
YAL036C	0.83	0.75	0.33	0.1	-0.27	0.45	0.62	0.32	-0.6	0.27	-0.27	0.21	-0.4	-0.11	-0.55	0.24	-0.19	0.27	-0.5	-0.47	-0.83	0.05	-0.19	-0.11
YAL037W		0.31	0.17	-0.37	1.04	-0.22	0.85	-0.79	0.64	-0.27	-0.09	-0.47	0.21	-0.92	0.81	-0.34	0.49	-0.55	1.05	0.27	0.63	-1.22	-0.55	-0.68
YAL038W	-0.72	-0.65	-0.6	-0.2	-0.13	0.33	-0.53	0.26	-0.18	0.35	0.18	0.34	0.28	0.16	0.15	0.11	0.57	0.32	0.23	0.19	-0.29	-0.02	-0.07	-0.08
YAL039C	0.74	0.34	-0.24	-0.14	-1.22	-0.16	-0.21	0.2	-0.47	0.35	0.11	0.52	-0.48	-0.13	-0.26	-0.03	-0.2	0.11	-0.05	0.34	-0.41	0.52	0.29	0.43
YAL040C	0.49	0.62	0.05	-0.13	0.02	0.04	-0.14	0.24	0.91	0.42	0.58	-0.2	0.03	-0.38	-0.31	-0.56	0.17	-0.3	0.36	-0.26	0.11	-0.5	-0.66	-0.59
YAL041W		-0.16	0	0.18	0.13	0.25	-0.08	0.34	0.05	0.22	-0.28	0.09	-0.26	-0.12	-0.06	0.21	-0.43	-0.04	0.32	0.17	-0.01	0	-0.14	-0.37
YAL042W	-0.06	-0.15	-0.03	0.11	-0.06	0.41	-0.67	0.29	-0.08	0.3	-0.19	0.23	-0.01	0.06	-0.17	0.07	0.11	0.27		-0.29	-0.29	0.14	-0.06	0.11
YAL043C		0.13	-0.02	0.14	0.21	-0.74	0.12	0.4	0.08	0.17	-0.25	-0.04	-0.12	-0.02	-0.09	0.16	0.28	-0.05	0.31	0.17	0.27	-0.41	-0.32	-0.36
YAL043C-A	-0.21	0.15	-0.4	-0.26	0.27	-0.36	0.13		-0.02	-0.08	0.06		0.15	-0.03	0.44	-0.58	0.71	0.27	0.48	-0.19	0.77	-0.73	-0.08	-0.49
YAL044C	0.2	-0.4	-0.46	-0.32	-0.66	0.03	-0.79	0.1	-0.89	0.05	-0.97	0.17	-0.31	0.18	-0.14	0.46	0.4	0.87	-0.24	0.22	-0.44	0.84	0.7	1.38
YAL045C		-0.19	-0.23	-0.84	0.16	0.18	0.25	-0.46	-0.04	0.32	-0.48	0.28	-0.21	-0.19	0.31	-0.06	0.16	0.16	0.35	0.08	0.21	-1.18	0.5	0.89
YAL046C	0.27	0.04	0.23	0.02	0.09	0.16	-0.16	-0.02	-0.17	0.1	-0.14	-0.09	0.02	-0.27	0.16	-0.25	0.19	0.08	-0.11	-0.19	-0.36	-0.02	-0.06	0.48
YAL047C		0.27	0.26	-0.11	-0.13	0.03	-0.04	0.02	-0.3	0.03	-0.38	0.02	-0.09	-0.16	0.29	0.02	-0.14	-0.21	-0.08	0.46	0.2	0.18	-0.01	-0.13
YAL048C	-0.49	-0.01	0.02	-0.12	0.1	0.1	0.11	0.01	-0.01	-0.39	-0.49	1.92	0.02	-0.13	-0.05	-0.35	-0.01	-0.25	0.53	0.05	0.31	-0.25	-0.29	-0.35
YAL049C	-0.07	-0.08	-0.32	-0.32	-0.33	-0.26	0.09	-0.23	0.37	0.04	0.18	0.82	-0.07	0.25	0.08	-0.18	-0.42	-0.08	0.02	0.06	-0.15	0.17	0.14	0.28
YAL051W	-0.33	0.11	0.2	0.26	-0.04	0.34	-0.31	-0.27	-0.29	0.27	-0.35	0.3	-1.19	0.19	-0.44	0.11	0.14	0.17	0.27	0.32	0.06	0.2	0.08	0.22
YAL053W				-0.19	0.52	-0.7	-0.25	-1.05	0.31	-0.19	0.86	0.35	0.79	0.02	0.34		0.21	-0.95	0.62	-0.69	0.47	-0.48		
YAL054C	-0.37	-0.13	-0.22	-0.33	0.77	-0.75	-0.37	-0.51	0.66	-0.44	0.6	-0.55	0.92	-1.06	0.67		0.84	-0.75	0.67	0.72	1.36	-0.6	-0.44	-0.68
YAL055W																								
YAL056W	-0.25	-0.02	-0.25	-0.16	0.09	0.06	0.26	0.14	0.21	-0.19	-0.11	-0.23	-0.5	-0.19	0.25	-0.29	0.29	-0.45	0.53	0.38	0.66	0.06	-0.05	-0.23
YAL058C-A	-0.48	0.23	-0.18	0.35	0.47		0.97			-0.39	0.15		0.24	-0.22		-0.22						-0.29		-0.62
YAL058W				-0.52	0.2	-0.76	0.21	-0.2	0.49	-0.02	0.22	-0.26	-0.2	0	0.17		0.28	-0.42	0.66	0.01	0.36	-0.23		
YAL059W	1.2	1.32	0.74	0.07	0.27	-0.06	0.07	0.15	-0.53	-0.04	0.12	-0.25	-0.27	-0.67	-0.31		-0.15	-0.07	-0.19	0.28	-0.25	-0.24	-0.71	-0.48
YAL060W				-1.07	-0.11	-0.89	0.1	-0.39	0.57	-0.4	-0.06	-0.48	-0.16	-0.39	0.39		0.34	0.06	1.29	0.19	0.92	0.1		
YAL061W	-0.85	-0.41	-0.64	-0.56	0.53	-0.73	0.42	-0.6	0.43	-0.37	0.61	-0.39	0.73	-0.56	0.61		0.29	-0.68	0.35	0.36	1.49	-0.03	-0.03	0.03
YAL062W				-0.27	0.53	-0.51	0.2	-0.27	0.41	-0.33	0.07	-0.38	-0.07	-0.27	0.02		0	-0.31	0.66	0.33	0.49	-0.3		
YAL063C	0.56	0.41	0.43	0.22	0.03	0.2	-0.38	0.21	-0.34	0.06	0.11	-0.64	0.04	0	0	-0.04	0.28	-0.08	-0.1	-0.34	-0.24	-0.13	-0.13	-0.13
YAL064C-A	-0.2	0.2	0.24	0.62	0.24	-0.51	0.45		0.18	0	0.25	-0.36	0.09	0.34	0.19	-0.69	0.2	-0.67	-0.04	-0.49	0.44	-0.42	0.35	-0.39
YAL064W		0.31	0.09	-0.64	0.28	-0.53	0.44	-0.29	0.55	-0.41	-0.12	1.93	-0.12	-0.19	0.36	-1.07	0.56	-0.64	0.76	0.34	0.74	-1.07	-0.64	-0.62
YAL064W-B	0.11	0.13	0.07	-0.29	0.56	-0.4	0.24	0.05	0.29	-0.07	0.33	0.98	0.28	-0.15	-0.06	-0.56	-0.01	-0.37	-0.03	-0.75	0.42	-0.13	-0.33	-0.3
YAL065C	-0.3	-0.02	-0.12	0.27	0.22	0.15	0.19	0.18	0.13	0.19	-0.04	-0.04	0.06	-0.12	-0.02	-0.45	0.04	-0.08	0.22	-0.13	0.24	-0.18	-0.05	-0.37
YAL066W		0.06	-0.06	-0.68	0.43	-0.72	1.02	-1.08	0.99	-0.53	0.48			-0.34		-0.53		-0.34	1.56	0.71		-0.89	0.2	-0.28
YAL067C	-0.48	0.24	1.09	1	1.83	-0.66	0.25	-1.1	-0.1	-0.58	0.04		0.99	-0.48	1.05	-0.87	0.58	-1.18	0.61	0.1	0.47	-1.26	-0.9	-0.63
YAL068C														-0.8						0.8				
YAL069W	0.03	0.38	0.06	-0.88	0.04	-0.23	0.34	-0.08	0.39	0.03	0.26		0.6	0.08		-0.67		-0.23	0.47	0.2		-0.79		
YAR002C-A	-0.18	0.14	0.19	-0.2	0.45	-0.75	0.38	-0.2	0	0.04	-0.13		0.05	0.14		-0.9	0.3			0.38	0.69	-0.38		-0.03
YAR002W	0.23	0.45	0.18		-0.23		-0.14		-0.73	0.27	0.23	-0.07	0.7	0.08	-0.38		-0.14		-0.51	-0.1	-0.59	0.48	0.16	0.11
YAR003W		-0.09	0.23	-0.17	-0.17	-0.44	-0.59	-0.51	-0.23	0.36	0.52	0.67	0.57	-0.49	0.28	-0.15	0.23	-0.42	0.25	-0.09	0.16	0.1	-0.04	0.03
YAR007C	-0.09	0.99	1.53	-0.11	-0.59	-1.21	-1.43	-1.37	-1.16	0.72	0.94	1.15	0.85	0.99	0.15	-0.43	-0.66	-0.85	-1.06	-0.34	-0.09	0.79	0.6	0.66
YAR008W		1.02	0.75	-0.65	-0.01	-1.11	-0.31	-0.88	0.22	-0.11	0.58	0.64	0.43	0.02	0.12	-0.55	-0.21	-0.79	0.35	0.07	0.79	0.01	-0.13	-0.25
YAR009C	-0.28	0.05	0.42	0.22	0.13	0.18	0.08	0.17	-0.05	0.05	-0.19	-0.3	-0.39	-0.07	-0.24	0.01	0.17	-0.32	0.25	0.59	-0.04	-0.23	-0.07	-0.15
YAR010C		0.14	0.11	0.37	0.06	0.41	0.04	0.38	-0.21	0.12	-0.23	0.17	-0.38	0.17	-1.69	0.04	0.16	0.06	0.09	0.25	-0.23	-0.05	0.16	0.06
YAR014C	0.44	0.42	0.03	-0.11	0.35	-0.27	-0.43	-0.31	-0.42	-0.33	0.25	-0.53	0.28	-0.42	-0.24		0.32	-0.4	0.36	0.89	0.5	0.03	-0.27	-0.13
YAR015W				-0.64	-0.35	-0.53	0.39	-0.06	0.29	-0.05	-0.3	-0.25	-0.05	-0.18	-0.02		-0.04	0.09	0.56	0.49	0.39	0.25		
YAR018C	0.23	-0.82	-1.2	-1.11	-0.04	-0.16	0.4	1.12	0.34	0.39	0.21	-0.5	-0.2	-0.7	-1.17		-0.1	0.27	0.37	1.74	0.63	0.59	0.03	-0.33
YAR019C			-0.49	-0.44	0.25	-0.7	0.34	-0.04	0.51	-0.33	0.13	-0.12	-0.02	0.1	0.37		0.15	-0.39	0.8	0.03	0.35	-0.49		
YAR020C	0.15	0.36	0.11	-0.22	0.19	-0.42	0.73	-0.82	0.32	-0.42	0.46	-0.77	0.34	0.24	0.52	-0.02	0.35	-0.24	0.74	-0.08	0.6	-1.54	-0.17	-0.4
YAR023C				-0.76	0.41	-1.64	0.63	-0.51	0.42	-0.6	0.36	-0.46	0.1	-0.01	0.94		0.57	-0.43	0.87	0.22	0.63	-0.72		
YAR027W	-0.39	-0.26	-0.11	-0.07	0.57	-0.59	0.16	-0.42	0.18	0.03	0.54	-0.15	0.52	-0.16	0.04		-0.1	-0.5	0.01	0.65	0.39	-0.04	-0.23	-0.07
YAR028W		-0.17	-0.06	-0.06	0.32	-0.36	1.41	-0.25	0.33	-0.37	0.19	0.09	0.09	-0.29	0.26	-0.45	0.33	-0.52	0.57	0.06	0.43	-0.37	-0.55	-0.61
YAR029W	-0.03	0.45	0.09	-0.2	-0.06	-0.18	0.47	-0.8	0.38	-0.66	0.53		0.25	-0.74	1.09	-0.09	0.58	-0.36	0.47	-0.04	0.71	-1.04	-0.17	-0.64
YAR030C				-0.84	0.23	-0.97	0.12	-0.17	0.36	-0.39	0.02	-0.29	-0.12	-0.09	1.44		0.55	-0.58	0.4	0.14	0.63	-0.45		
YAR031W	0	-0.02	-0.16	-0.34	0.73	-0.78	0.56	-0.47	0.31	-0.26	0.52	-0.15	0.59	-0.62	0.34		0.44	-0.66	0.35	0.47	0.44	-0.44	-0.47	-0.36
YAR033W				-0.43	0.38	-0.61	0.01	-0.4	0.43	-0.19	0.27	-0.23	0.16	-0.21	0.24		0.35	-0.47	0.55	-0.03	0.51	-0.34		
YAR035W	-0.1	0.04	-0.15	-0.09	0.29	-0.13	0.18	-0.12	0.38	0	-0.49	0.26	0.33	-0.06	0.2	-0.3	0.19	-0.47	0.54	-0.23	0.64	-0.25	-0.2	-0.49
YAR037W		0.68	0.15	-0.68	0.45	-0.47	0.82	-0.27	0.44	-1.01	0.18	-0.29	0.2	-0.39	0.51	-0.62	0.63	-0.93	0.94	0.35	0.94	-0.5	-0.39	-0.75
YAR040C	0.21	0.38	0.3	-0.49	0.56	-0.45	0.23	-0.77	0.61	0	0.3		0.66	-0.49	0.73	-1.11	0.12	-0.64	0.93	0.47	0.93	-1.06	-0.64	-0.77
YAR042W		0.23	-0.02	0.05	0.22	0.14	-0.28	0.41	0.04	0.19	-0.56	-0.06	-0.23	0.11	-0.36	0.05	0.15	-0.23	0.14	0.33	-0.08	0.33	-0.23	-0.34
YAR043C	0.68	0.36	0.04	0.27	0.19	0.18	-0.33	0.46	0.02	0.25	-0.17	-0.33	-0.17	-0.38	-0.47	0.15	-0.14	-0.17	-0.35	0.21	-0.19	0.31	-0.12	-0.29
YAR044W		0.21	0.09	-0.16	0.24	0.06	-0.11	0.12	0.03	0.12	0.62	-0.06	-0.05	-0.34	-0.34	-0.09	0.18	-0.14	0.16	0.31	-0.06	0.16	-0.5	-0.42
YAR047C	-0.02	0.31	0.03	-0.76	0.71	-0.24	0.96	-0.17	1.01	-0.38	0.52		0.95	-0.34	0.74	-0.91		-0.42		0.36		-0.91	-0.46	-0.97
YAR050W		0.17	-0.07	0.1	0.11	-0.21	0.18	0.18	0.38	-0.21	0.18	-0.13	0.14	-0.21	0.04	-0.26	0.56	-0.16	0.55	-0.41	0.17	-0.24	-0.08	-0.78
YAR052C	0.31	0.18	0.32	-0.36	0.45	-0.09	0.24	0	0.31	-0.02	0.28	-0.1	0.28	-0.27	0.14	-0.18	0.36	-0.81	0.31	-0.34	0.3	-0.41	-0.45	-0.45
YAR053W		0.07	-0.05	-0.78	0.3	-0.27	0.48	-0.38	-0.03	0.12	0.38	-0.3	0.19	-0.33	0.45	-0.12	0.4	-0.27	0.56	0.01	0.76	-0.53	-0.28	-0.41
YAR060C	-0.28	0.47	0.63	-0.83	0.44	-0.48	0.57	-0.4	0.42	-0.22	0.46	-0.38	0.45	-0.42	0.14	-0.65	0.06	-0.92	0.38	0.47	0.25	-0.13	0.14	-0.17
YAR061W		0.56	0.01	-0.89	0.41	-0.7	0.67	-0.82	0.3	-0.39	0.55	-0.44	0.22	-0.37	0.45	-0.7	0.89	-0.39	0.7	0.51	0.64	-0.41	-0.41	-0.39
YAR062W	-0.48	0	0.22	-0.5	0.87	-1.38	0.31	-0.66	0.8	-0.36	0.5	-0.33	0.76	-0.2	1.07		0.47	-0.89	0.49	0.49	1.22	-1.17	-0.41	-0.8
YAR064W				-0.8	0.49	-0.82	-0.96	-0.77	0.26	-0.51	0.37	-0.42	0.58	-0.15	0.24		0.63	-0.82	1.62	1.11	0.41	-0.47		
YAR066W	-0.54	-0.33	-0.22	0.77	-0.26	-0.3	0.03	0.21	-0.02	-0.15	0.25	0.8	-0.03	0.56		-0.75		0.26	0.29	-0.17	0.32	-0.77	0.32	-0.27
YAR068W	-0.4	-0.06	0.14	-0.49	0.44	-1.03	1.38	-0.79	0.2	-0.32	0.22	-0.52	0.31	0.06	0.62		0.19	-0.26	0.16	0.56	0.66	-0.47	-0.4	-0.21
YAR069C		0.35		-1.01	0.52	-1.14	0.14	-0.84	0.37	-0.66	0.58	-0.28	0.46	-0.66	0.31		0.19	-0.69	0.91	0.74	1.5	-0.79		
YAR070C	-0.32	0	0	-0.3	0.11	-1.4	0.69	0.03	0.3	-0.58	0.32	-0.88	0.56	0.42	0.17	-0.1	0.18	0.34	0.87	-0.36	0.76	-0.68	0.19	-0.3
YAR071W				-1.73	-0.4	0.13	0.47	1.15	1.86	0.42	0.4	-0.85	-0.75	-1.28	-1.4		-0.09	0.36	0.55	1.17	0.73	-0.73		
YAR073W	-0.28	0.35	0.34	0.03	0.75	-0.44	0.56	-0.5	0.58	-0.44	0.09	-0.44	0.02	-0.38	-0.03		0.26	-0.21	0.65	0.28	0.68	-0.76	-0.86	-0.24
YAR074C		0.29		-0.06	0.96	-0.51	-0.15	-0.45	0.57	-0.54	0.4	-0.43	-0.24	-0.58	0		0.37	-0.1	0.3	0.3	0.64	-0.77		
YAR075W	-0.06	0.31	0.21	0.1	0.47	-0.21	0.41	0.12	0.21	-0.46	-0.08	0.12	0.19	-0.37	0.09	-0.33	0.22	-0.1	0.75	-0.23	0.35	-0.76	-0.25	-0.73
YBL001C	-0.13	-0.31	0.6		0.65	-0.77	0.72	-0.81	-0.26	-0.63	-0.21	0.27	0.19	0.08	0.95		0.19	-0.21	0.19	-0.09	0.44	-0.7	-0.37	0.21
YBL002W		-1.32	1.3	0.92	1.72	-0.61	-0.69	-1.76	-1.36	-1.32	0.26	1.01	0.2	1.45	1.63	0.43	0.91	-0.4	-0.36	-0.16	-0.57	-0.84	-0.52	0.08
YBL003C	-1.29	-0.83	1.26	1.49	1.03	0.13	-0.64	-1.33	-1.91	-1.12	-0.31	1.11	1.24	1.79	1.33	0.85	0.3	0.06	-0.44	-1.15	-0.83	-0.81	-0.19	0.28
YBL004W		0.14	-0.07	0.24	0.08	0.26	-0.07	0.57	0.17	0.16	-0.34	-0.11	-0.47	-0.18	-0.14	0.05	0.02	-0.02	0.68	-0.09	0.27	-0.36	-0.34	-0.45
YBL005W	0.11	0.32	-0.02	0.43	0.06	0.36	0.31	0.35	-0.32	0.47	-0.16	0.2	-0.44	0.39	-0.4	0.13	-1.64	-0.1	-0.47	0.03	0.21	0	0.13	0.05
YBL005W-A		0.44		0.42	0.23	0.35	0.16	0.45	-0.91	0.23	-1.1	0.3	-0.31	0.01	-0.37	-0.04	-0.25	-0.15	-0.39	0.74	-0.21	0.15	0.16	0.06
YBL005W-B	0.18	0.12	-0.07	-0.37	0.21	-0.2	0.68	-0.6	-0.01	-0.11	-0.25	0.4	-0.35		-0.01	0.14	-0.05	0.3	0.14	0.01	0.69	-0.54	-0.01	-0.3
YBL006C	-0.96	0.16		0.28	0.24	0.5	-0.03	0.1	-0.5	0.18	-1.05	0.16	-0.28	0.02	0.16	0.28	0.04	0.15	-0.32	0.52	-0.4	0.33	0.11	0.3
YBL007C	-0.28	-0.35	-0.21	0.03	0.4	0.24	0.01	0.22	0.14	-0.55	-0.22	-0.37	0.21	-0.21	-0.15	-0.13	0.51	-0.26	0.66	0.1	0.54	0.03	-0.19	-0.17
YBL008W	-0.05	0.13	0.06	0	0.16	-0.43	0.32	-0.06	0.12	0.09	0	0.16	0.41	0.19	0.17	-0.45	0.2	-0.6	0.05	-0.16	0.69	-0.55	-0.16	-0.29
YBL009W	-0.33	0.33	0.91	0.59	0.52	-0.47	-0.02	-0.56	-0.73	-0.11	0.03	0.18	0.22	0.5	0.18	0.41	-0.02	0.13	-0.13	-0.25	0.07	-0.73	-0.38	-0.35
YBL010C		0.27		-0.29	0.28	-0.27	0.23	-0.31	-0.31	-0.12	-0.54	0.47	0.07	0.06	0.35	-0.59	0.37	-0.31	0.12	0.34	0.63	-0.15	-0.15	-0.12
YBL011W	0.28	0.27	-0.1	-0.02	0	0.17	-0.37	-0.16	-0.34	-1.83	0.1	1.1	-0.06	0.92	0.06	0.39	0.11	0.11	-0.02	0.17	0.79	0.22	0.18	-1.98
YBL012C		-0.08	-0.5	-0.09	0.18	-0.38	0.08	-0.13	-0.17	0.18	-0.15	0.05	-0.13	-0.06	0.32	0.36	-0.29	-0.02	-0.02	0.4	0.08	0.32	0.05	0.01
YBL013W	0.17	0.26	0.38	-0.25	1.07	-0.39	0.4	-0.02	0.21	-0.49	-0.02		-0.39	0.16	0.04	-0.88	-0.18	0.4	0.36	-0.2	0.94	-0.68	-0.46	-0.44
YBL014C		0.62		-0.1	0.34	-0.24	0.39	0.1	0.07	-0.15		0.09	0.03	-0.1	0.13	-0.1	-0.05	-0.59	0.34	0.44	0.09	-0.53	-0.28	-0.53
YBL015W	-0.85	-0.31	-0.54	-0.3	0.73	-0.68	0.42	-0.68	0.43	-0.11	0.32	-0.46	0.15	-0.25	0.79		-0.06	-0.56	0.42	0.69	1.18	-0.21	-0.14	0.02
YBL016W				-0.17	0.16	-0.45	0.12	-0.09	0.22	0.02	0.12	-0.18	-0.36	-0.35	-0.55		-0.33	-0.25	-0.17	0.74	0.74	0.78		
YBL017C	-0.73	-0.48	-0.7	0.13	0.46	-0.04	0.3	0.01	0.01	-0.04	-0.28	-0.21	0.35	0.12	0.37	-0.04	0.27	-0.04	0.44	0.07	0.38	-0.1	0.07	-0.3
YBL018C				-0.3	0.68	-0.47	0.51	-0.45	0.3	-0.45	0.21	-0.21	0.17	-0.01	0.23		0.05	-0.54	-0.23	0.57	0.34	-0.38		
YBL019W	-0.4	-0.03	-0.16		0.28	-1.19	0.6	-0.75	0.26	-0.7	1.39	-0.45	0.23	-0.06	0.84		0.07	-0.75	0.55	0.54	1.01	-0.49	-0.4	-0.43
YBL020W																								
YBL021C																			0.77			-0.77		
